in domain,method,model,in-domain-dataset,selected,training task,self-output criteria,avg ppl (overall),avg ppl (only gt),avg ppl (rm gt),training step,gt data/ data size,epoch size,avg token length,gt model,original base,mbpp test,math test,arc test (cot),arc test,gsm8k,bird-test,mbpp-test vs gt model,mbpp-test vs original llama,math-test vs gt model,math-test vs original llama,arc test vs gt model,arc test vs original llama,gsm8k vs task gt model,gsm8k vs original llama
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1,Q1,2.54,0,2.54,108,0/213,1,140,0.5344,0.5979,0.6296,x,0.8123,,x,,,3.17%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep2,Q1,2.54,0,2.54,216,0/213,2,109,0.5079,0.5979,0.6111,x,x,,x,,,1.32%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep3,Q1,2.54,0,2.54,324,0/213,3,109,0.5608,0.5979,0.6217,x,x,,x,,,2.38%,,,,,,
mbpp,self-output,llama,mbpp,TRUE,mbpp-ep1,Q2,3.48,0,,108,0/213,1,,0.5344,0.5979,0.619,0.313,0.8072,,0.7953,,8.46%,2.11%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep2,Q2,3.48,0,,216,0/213,2,,0.5079,0.5979,0.5979,0.313,0.8114,,,,9.00%,0.00%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep3,Q2,3.48,0,,324,0/213,3,,0.5079,0.5979,WIP,WIP,WIP,,0.7862,,#VALUE!,#VALUE!,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1,Q3,,0,,,0/213,1,,0.5344,0.5979,x,x,0.8166,,x,,,,,,,,,
mbpp,self-output,llama,mbpp,TRUE,mbpp-ep1,highest,6.44,0,6.44,108,0/213,1,84,0.5344,0.5979,0.6349,0.313,0.7978,,0.7839,,,3.70%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep2,highest,6.44,0,6.44,216,0/213,2,84,0.5079,0.5979,0.6217,,0.8166,,0.7718,,,2.38%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep3,highest,6.44,0,6.44,324,0/213,3,61,0.5608,0.5979,0.6349,,,,0.7915,,,3.70%,,,,,,
,self-output,mistral,mbpp,FALSE,mbpp-ep1,lowest,1.89,0,1.89,73,0/292,1,298,0.4815,0.4868,0.4709,0.19,0.6869,,0.2252,,,,,,,,,
,self-output,mistral,mbpp,TRUE,mbpp-ep2,lowest,1.89,0,1.89,146,0/292,2,298,0.4815,0.4868,0.4917,0.182,0.6724,0.6903,0.2343,0.1375,,,,,,,,
,self-output,mistral,mbpp,FALSE,mbpp-ep3,lowest,1.89,0,1.89,219,0/292,3,298,0.4815,0.4868,0.4894,0.186,0.6809,,0.2396,,,,,,,,,
,self-output,mistral,mbpp,FALSE,mbpp-ep1,Q2,2.23,0,2.23,,0/292,1,264,0.455,0.4868,,,,,,,,,,,,,,
,self-output,mistral,mbpp,FALSE,mbpp-ep1,highest,2.68,0,2.68,,0/292,1,223,0.455,0.4868,,,,,,,,,,,,,,
,self-output,mistral,mbpp,FALSE,mbpp-ep1,rand,2.23,0,2.23,,0/292,1,269,0.455,0.4868,,,,,,,,,,,,,,
,self-output,gemma,mbpp,TRUE,mbpp-ep1,lowest,1.51,0,1.51,65,0/258,1,413,0.1926,0.51058,0.537,0.281,0.7278,0.5845,0.5019,0.1395,,,,,,,,
,self-output,gemma,mbpp,FALSE,mbpp-ep2,lowest,1.51,0,1.51,130,0/258,2,413,0.1926,0.51058,0.5291,0.278,0.7295,,0.4936,,,,,,,,,
,self-output,gemma,mbpp,FALSE,mbpp-ep3,lowest,1.51,0,1.51,195,0/258,3,413,0.1926,0.51058,0.5344,0.292,0.7295,,0.5239,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-length,lowest,6.28,0,6.28,108,0/213,1,47,0.5344,0.5979,0.5979,0.323,,,0.7832,,,0.00%,8.57%,0.90%,-59.98%,-84.98%,22.14%,0.76%
mbpp,self-output,llama,mbpp,FALSE,mbpp-length,Q2,2.89,0,2.89,108,0/213,1,98,0.5344,0.5979,0.6085,0.339,,,0.7779,,,1.06%,10.17%,2.50%,-59.98%,-84.98%,21.61%,0.23%
mbpp,self-output,llama,mbpp,FALSE,mbpp-length,highest,2.01,0,2.01,108,0/213,1,270,0.5344,0.5979,0.6164,0.319,,,0.7771,,,1.85%,,,-59.98%,-84.98%,21.53%,0.15%
mbpp,,,mbpp,FALSE,mbpp gemma-2b-it setting 3,,,,,,,,gt length,gt gemma,gemma-2b-it:,,,,,,,,,,,,,,
mbpp,self-output,gemma,mbpp,FALSE,mbpp-ep1 on llama output,lowest,,,,,,1,,0.328,0.5079,0.4471,,,,,,11.91%,-6.08%,,,,,,
mbpp,self-output,gemma,mbpp,FALSE,mbpp-ep1 on llama output,Q2,,,,,,1,,0.328,0.5079,0.4577,,,,,,12.97%,-5.02%,,,,,,
mbpp,self-output,gemma,mbpp,FALSE,mbpp-ep1 on llama output,highest,,,,,,1,,0.328,0.5079,0.4444,,,,,,11.64%,-6.35%,,,,,,
mbpp,,,mbpp,FALSE,mbpp rephrase QA setting 3,,,,,,,**llama3-mbpp-ep1-rand has highest val accuracy,,,,,,,,,,** why worse than gt ?, first see samples,** test case error or syntax error,,,,,
mbpp,rephrase,llama,mbpp,FALSE,mbpp-ep1 ** sample size=8,lowest,1.81,0,1.81,need to exclude self output question,0/213,1,290,0.5397,0.5979,0.5106,0.3,0.785,,0.7119,,-2.91%,-8.73%,,,18.52%,-6.48%,15.01%,-6.37%
mbpp,rephrase,llama,mbpp,FALSE,mbpp-ep1,Q2,2.25,0,2.25,,0/213,1,258,0.5397,0.5979,0.5794,0.302,0.7875,,0.7301,,3.97%,-1.85%,,-1.20%,18.77%,-6.23%,16.83%,-4.55%
mbpp,rephrase,llama,mbpp,FALSE,mbpp-ep1,highest,3.04,0,3.04,,0/213,1,219,0.5397,0.5979,0.5661,0.245,0.7688,,0.7278,,2.64%,-3.18%,,-6.90%,16.90%,-8.10%,16.60%,-4.78%
mbpp,rephrase,llama,mbpp,TRUE,mbpp-ep1,random,2.29,0,2.29,,0/213,1,267,0.5397,0.5979,0.5406,0.3,0.7952,0.7543,0.724,0.1916,0.09%,-5.73%,,,,,,
,rephrase,mistral,mbpp,FALSE,mbpp-ep1,lowest,2.17,0,2.17,54,0/213,1,175,0.4815,0.4868,0.4709,0.19,0.6869,,,,,,,,,,,
,rephrase,mistral,mbpp,FALSE,mbpp-ep1,Q2,2.85,0,2.85,54,0/213,1,146,0.4815,0.4868,,,,,,,,,,,,,,
,rephrase,mistral,mbpp,FALSE,mbpp-ep1,highest,3.96,0,3.96,54,0/213,1,133,0.4815,0.4868,,,,,,,,,,,,,,
,rephrase,mistral,mbpp,TRUE,mbpp-ep1,random,2.92,0,2.92,54,0/213,1,147,0.4815,0.4868,0.463,0.188,0.5998,0.6775,0.3321,0.1649,,,,,,,,
,rephrase,mistral,mbpp,FALSE,mbpp-ep2,random,2.92,0,2.92,108,0/213,2,147,0.4815,0.4868,0.4444,0.182,0.5614,,0.3783,,,,,,,,,
,rephrase,mistral,mbpp,FALSE,mbpp-ep3,random,2.92,0,2.92,162,0/213,3,147,0.4815,0.4868,0.4524,0.191,0.564,,0.3889,,,,,,,,,
,rephrase,gemma,mbpp,FALSE,mbpp-ep1,lowest,5.83,0,5.83,62,0/246,1,176,0.3995,0.5079,0.5344,,,,,,,,,,,,,
,rephrase,gemma,mbpp,FALSE,mbpp-ep1,Q2,8.47,0,8.47,62,0/246,1,81,0.3995,0.5079,,,,,,,,,,,,,,
,rephrase,gemma,mbpp,FALSE,mbpp-ep1,highest,9.93,0,9.93,26,0/246,1,69,0.3995,0.5079,,,,,,,,,,,,,,
,rephrase,gemma,mbpp,FALSE,mbpp-ep1,random,8.26,0,8.26,62,0/246,1,95,0.3995,0.5079,0.4153,0.267,0.7611,,0.4481,,,,,,,,,
,rephrase,gemma,mbpp,FALSE,mbpp-ep2,random,8.26,0,8.26,124,0/246,2,95,0.3995,0.5079,0.4683,0.308,0.7517,,0.4731,,,,,,,,,
,rephrase,gemma,mbpp,TRUE,mbpp-ep3,random,8.26,0,8.26,186,0/246,3,95,0.3995,0.5079,0.4841,0.289,0.7713,0.7056,0.4822,0.1375,,,,,,,,
mbpp,,,,FALSE,w/o correctness,,,,,,,,,,,,,,,,,,,,,,,,
,self-output,llama,mbpp,FALSE,"mbpp-ep, lr2e-5, rej=35.1%",lowest,1.76,0,1.76,,0/253,1,213,0.5794,0.5979,0.6058,0.307,,0.7884,0.7862,0.1969,,,,,,,,
,self-output,llama,mbpp,FALSE,"mbpp-ep, lr2e-5, rej=100%",lowest,2.5,0,2.5,,0/229,3,177,0.5794,0.5979,0.5317,0.324,,0.8012,0.7771,,,,,,,,,
,self-output,llama,mbpp,TRUE,"mbpp-ep1, lr2e-5, rej=0%",lowest,1.88,0,1.88,,0/194,1,195,0.5794,0.5979,0.6058,0.324,,0.7927,0.7726,0.1994,,,,,,,,
,self-output,llama,mbpp,TRUE,"mbpp-ep1, lr2e-5, rej=25.25%",lowest,1.76,0,1.76,,0/194,1,217,0.5794,0.5979,0.5926,0.346,,0.7944,0.7779,0.1988,,,,,,,,
,self-output,llama,mbpp,TRUE,"mbpp-ep3, lr2e-5, rej=100%",lowest,2.92,0,2.92,,0/194,3,165,0.5794,0.5979,0.5608,0.315,,0.802,0.7703,0.1883,,,,,,,,
,self-output,gemma,mbpp,TRUE,"mbpp-ep3, lr2e-5, rej=0%",lowest,1.54,0,1.54,111,0/147,3,436,0.3995,0.5079,0.5,0.287,,0.7415,0.5625,0.1343,,,,,,,,
,self-output,gemma,mbpp,TRUE,"mbpp-ep3, lr2e-5, rej=100%",lowest,1.52,0,1.52,111,0/147,3,455,0.3995,0.5079,0.4974,0.284,,0.7423,0.5625,0.1349,,,,,,,,
,self-output,gemma,mbpp,TRUE,"mbpp-ep3, lr2e-5, rej=51.02%",lowest,1.47,0,1.47,111,0/147,3,456,0.3995,0.5079,0.4894,0.286,,0.7321,0.5641,0.1342,,,,,,,,
mbpp,,,,FALSE,mbpp answer rate flex range,,,,,,,,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,lowest,1.78,0,1.78,,0/71,1,189,0.5397,0.5979,0.6005,0.323,,,,,6.08%,0.26%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-medium,lowest,1.83,0,1.83,,0/71,1,183,0.5397,0.5979,0.6085,0.33,,,,,6.88%,1.06%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,lowest,2,0,2,,0/71,1,207,0.5397,0.5979,0.6402,0.305,,,,,10.05%,4.23%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,Q2,3.27,0,3.27,,0/71,1,107,0.5397,0.5979,0.6058,0.322,,,,,,0.79%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-medium,Q2,4.43,0,4.43,,0/71,1,92,0.5397,0.5979,0.5952,0.323,,,,,,-0.27%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,Q2,2.75,0,2.75,,0/71,1,127,0.5397,0.5979,0.6005,0.314,,,,,,0.26%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,highest,6.57,0,6.57,,0/71,1,43,0.5397,0.5979,0.6138,0.333,,,,,7.41%,1.59%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-medium*,highest,8.03,0,8.03,,0/71,1,45,0.5397,0.5979,0.172,,,,,,-36.77%,-42.59%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,highest,4.73,0,4.73,,0/71,1,96,0.5397,0.5979,0.6138,,,,,,7.41%,1.59%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,random,3.5,0,3.5,,0/71,1,94,0.5397,0.5979,0.5952,0.321,,,,,,-0.27%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-medium,random,4.16,0,4.16,,0/71,1,96,0.5397,0.5979,0.6085,0.325,,,,,,1.06%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,random,2.92,0,2.92,,0/71,1,134,0.5397,0.5979,0.6058,0.312,,,,,,0.79%,,,,,,
mbpp,,,mbpp,FALSE,mbpp answer rate fix range,,,,,,,,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,lowest,1.79,0,1.79,255,0/161,1,192,0.5397,0.5979,0.6032,,,,,,6.35%,0.53%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,Q2,3.75,0,3.75,255,0/161,1,106,0.5397,0.5979,0.6085,,,,,,6.88%,1.06%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-easy,highest,7.07,0,7.07,255,0/161,1,52,0.5397,0.5979,0.6111,,,,,,7.14%,1.32%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,lowest,2.08,0,2.08,29,0/52,1,198,0.5397,0.5979,0.6164,,,,,,7.67%,1.85%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,Q2,2.66,0,2.66,29,0/52,1,118,0.5397,0.5979,0.5979,,,,,,5.82%,0.00%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1-hard,highest,4.49,0,4.49,29,0/52,1,90,0.5397,0.5979,0.6164,,,,,,7.67%,1.85%,,,,,,
math,,,,FALSE,bf16:,,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,lowest,1.99,3.74,1.68537037,100,94/634,0.3154574132,,0.239,0.314,,0.298,,,,,,,5.90%,-1.60%,,,,
math,self-output,llama,math,FALSE,math,lowest,1.99,3.74,1.68537037,200,94/634,0.6309148265,,0.2176,0.314,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,Q2,2.57,3.89,2.08637931,100,170/634,0.3154574132,,0.239,0.314,0.6164,0.283,,,,,58.04%,1.85%,4.40%,-3.10%,,,,
math,self-output,llama,math,FALSE,math,Q2,2.57,3.89,2.08637931,200,170/634,0.6309148265,,0.2176,0.314,0.6138,0.311,,,,,6.09%,1.59%,9.34%,-0.30%,,,,
math,self-output,llama,math,FALSE,math,highest,3.96,4.01,3.603589744,100,556/634,0.3154574132,,0.239,0.314,0.5979,0.246,,,,,56.19%,0.00%,0.70%,-6.80%,,,,
math,self-output,llama,math,FALSE,math,highest,3.96,4.01,3.603589744,200,556/634,0.6309148265,,0.2176,0.314,0.5974,0.24,,,,,4.45%,-0.05%,1.87%,-6.40%,,,,
math,self-output,llama,math,FALSE,4bit:,,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,lowest,2.53,4.86,1.75,100,1290/3508,0.05701254276,,0.239,0.314,0.5053,0.271,,,0.6687,,46.93%,-9.26%,3.20%,-4.30%,7.85%,-1.62%,5.08%,-10.69%
math,self-output,llama,math,FALSE,math,lowest,2.53,4.86,1.75,200,1290/3508,0.1140250855,,0.2176,0.314,0.537,0.307,,,,,-1.59%,-6.09%,8.94%,-0.70%,15.52%,-2.22%,,
math,self-output,llama,math,FALSE,math,Q1,2.89,3.86,1.94,100,1704/3508,0.05701254276,,0.239,0.314,0.5317,0.272,,,0.7422,,49.57%,-6.62%,3.30%,-4.20%,5.12%,-4.35%,12.43%,-3.34%
math,self-output,llama,math,FALSE,math,Q1,2.89,3.86,1.94,200,1704/3508,0.1140250855,,0.2176,0.314,,,,,,,,,,,14.93%,-2.81%,,
math,self-output,llama,math,FALSE,math,Q2,2.97,3.85,2.13,100,1714/3508,0.05701254276,,0.239,0.314,0.582,0.287,,,0.771,,54.60%,-1.59%,4.80%,-2.70%,8.19%,-1.28%,15.31%,-0.46%
math,self-output,llama,math,FALSE,math,Q2,2.97,3.85,2.13,200,1714/3508,0.1140250855,,0.2176,0.314,,,,,,,,,,,17.66%,-0.08%,,
math,self-output,llama,math,FALSE,math,Q3,3.17,3.86,2.36,100,1900/3508,0.05701254276,,0.239,0.314,0.5794,0.264,,,0.7483,,54.34%,-1.85%,2.50%,-5.00%,9.90%,0.43%,13.04%,-2.73%
math,self-output,llama,math,FALSE,math,Q3,3.17,3.86,2.36,200,1900/3508,0.1140250855,,0.2176,0.314,,,,,0.7301,,,,,,18.77%,1.03%,20.09%,-4.55%
math,self-output,llama,math,FALSE,math,highest,4.1,4.15,3.52,100,3243/3508,0.05701254276,,0.239,0.314,0.5476,0.238,,,0.6649,,51.16%,-5.03%,-0.10%,-7.60%,6.66%,-2.81%,4.70%,-11.07%
math,self-output,llama,math,FALSE,math,highest,4.1,4.15,3.52,200,3243/3508,0.1140250855,,0.2176,0.314,0.5212,0.284,,,0.6391,,-3.17%,-7.67%,6.64%,-3.00%,13.56%,-4.18%,10.99%,-13.65%
math,self-output,llama,math,FALSE,4 bit remove gt,,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,lowest,1.75,0,1.75,100,0/2218,0.09017132552,,0.239,0.314,0.5847,0.31,,,0.7862,,54.87%,-1.32%,7.10%,-0.40%,6.91%,1.03%,16.83%,1.06%
math,self-output,llama,math,FALSE,math,lowest,1.75,0,1.75,200,0/2218,0.180342651,,0.2176,0.314,0.5847,0.307,,,0.7688,,3.18%,-1.32%,8.94%,-0.007,,,15.09%,-0.68%
math,self-output,llama,math,FALSE,math,Q1,1.94,0,1.94,100,0/1184,0.09017132552,,0.239,0.314,0.6164,0.311,,,0.7748,,58.04%,1.85%,7.20%,-0.30%,5.88%,0.00%,15.69%,-0.08%
math,self-output,llama,math,FALSE,math,Q1,1.94,0,1.94,200,0/1184,0.180342651,,0.2176,0.314,0.6032,0.322,,,0.7589,,5.03%,0.53%,10.44%,0.80%,,,14.10%,-1.67%
math,self-output,llama,math,FALSE,math,Q2,2.13,0,2.13,100,0/1796,0.09017132552,,0.239,0.314,0.6217,0.323,,,0.7779,,58.57%,2.38%,8.40%,0.90%,6.91%,1.03%,16.00%,0.23%
math,self-output,llama,math,FALSE,math,Q2,2.13,0,2.13,200,0/1796,0.180342651,,0.2176,0.314,0.5847,0.323,,,,,3.18%,-1.32%,10.54%,0.90%,,,,
math,self-output,llama,math,FALSE,math,Q3,2.36,0,2.36,100,0/1608,0.09017132552,,0.239,0.314,0.6243,0.327,,,0.7801,,58.83%,2.64%,8.80%,1.30%,5.29%,-0.59%,16.22%,0.45%
math,self-output,llama,math,FALSE,math,Q3,2.36,0,2.36,200,0/1608,0.180342651,,0.2176,0.314,0.6111,0.314,,,,,5.82%,1.32%,9.64%,0.00%,,,,
math,self-output,llama,math,FALSE,math,highest,3.52,0,3.52,100,0/265,0.09017132552,,0.239,0.314,0.5926,0.238,,,0.7635,,55.66%,-0.53%,-0.10%,-7.60%,7.76%,1.88%,14.56%,-1.21%
math,self-output,llama,math,FALSE,math,highest,3.52,0,3.52,200,0/265,0.180342651,,0.2176,0.314,0.5979,0.284,,,0.787,,4.50%,0.00%,6.64%,-3.00%,,,16.91%,1.14%
math,self-output,llama,math,FALSE,math,Q2,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,Q3,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,4bit not considering gt at first - setting 3,,,,,,,,,,,,,,,,,,,,,,,,
math,self-output,llama,math,FALSE,math,lowest,1.76,0,1.76,100,0/2242,0.08920606601,,0.239,0.314,0.6138,0.302,,,0.8021,,57.78%,1.59%,6.30%,-1.20%,11.78%,2.31%,18.42%,2.65%
math,self-output,llama,math,FALSE,math,lowest,1.76,0,1.76,200,0/2242,0.178412132,,0.2176,0.314,0.5847,0.302,,,0.7248,,3.18%,-1.32%,8.44%,-1.20%,,,19.56%,-5.08%
